Fecha.DOF|TC
30/09/2006|N/E
01/10/2006|N/E
02/10/2006|10.9935
03/10/2006|10.9733
04/10/2006|11.0404
05/10/2006|11.0533
06/10/2006|11.0185
07/10/2006|N/E
08/10/2006|N/E
09/10/2006|11.0624
10/10/2006|11.0842
11/10/2006|11.0597
12/10/2006|11.0248
13/10/2006|10.9406
14/10/2006|N/E
15/10/2006|N/E
16/10/2006|10.8765
17/10/2006|10.8364
18/10/2006|10.8703
19/10/2006|10.8257
20/10/2006|10.8060
21/10/2006|N/E
22/10/2006|N/E
23/10/2006|10.8169
24/10/2006|10.8489
25/10/2006|10.8289
26/10/2006|10.7918
27/10/2006|10.7313
28/10/2006|N/E
29/10/2006|N/E
30/10/2006|10.7093
31/10/2006|10.7740
01/11/2006|10.7640
02/11/2006|N/E
03/11/2006|10.7449
04/11/2006|N/E
05/11/2006|N/E
06/11/2006|10.7948
07/11/2006|10.8344
08/11/2006|10.8200
09/11/2006|10.8598
10/11/2006|10.8632
11/11/2006|N/E
12/11/2006|N/E
13/11/2006|10.9158
14/11/2006|10.9263
15/11/2006|10.8675
16/11/2006|10.8595
17/11/2006|10.8527
18/11/2006|N/E
19/11/2006|N/E
20/11/2006|N/E
21/11/2006|10.9524
22/11/2006|11.0021
23/11/2006|10.9756
24/11/2006|10.9682
25/11/2006|N/E
26/11/2006|N/E
27/11/2006|11.0242
28/11/2006|11.0520
29/11/2006|11.0454
30/11/2006|10.9983
01/12/2006|N/E
02/12/2006|N/E
03/12/2006|N/E
04/12/2006|10.9975
05/12/2006|10.9595
06/12/2006|10.8940
07/12/2006|10.8620
08/12/2006|10.8558
09/12/2006|N/E
10/12/2006|N/E
11/12/2006|10.8606
12/12/2006|N/E
13/12/2006|10.8375
14/12/2006|10.8255
15/12/2006|10.7922
16/12/2006|N/E
17/12/2006|N/E
18/12/2006|10.7740
19/12/2006|10.8002
20/12/2006|10.8492
21/12/2006|10.8075
22/12/2006|10.8411
23/12/2006|N/E
24/12/2006|N/E
25/12/2006|N/E
26/12/2006|10.8597
27/12/2006|10.8747
28/12/2006|10.8810
29/12/2006|10.8755
30/12/2006|N/E
31/12/2006|N/E
01/01/2007|N/E
02/01/2007|10.8116
03/01/2007|10.7815
04/01/2007|10.7708
05/01/2007|10.8650
06/01/2007|N/E
07/01/2007|N/E
08/01/2007|10.9355
09/01/2007|10.9705
10/01/2007|11.0091
11/01/2007|11.0333
12/01/2007|10.9650
13/01/2007|N/E
14/01/2007|N/E
15/01/2007|10.9765
16/01/2007|10.9419
17/01/2007|10.9860
18/01/2007|10.9234
19/01/2007|10.9232
20/01/2007|N/E
21/01/2007|N/E
22/01/2007|10.8824
23/01/2007|10.8918
24/01/2007|10.9645
25/01/2007|10.9486
26/01/2007|10.9753
27/01/2007|N/E
28/01/2007|N/E
29/01/2007|11.0402
30/01/2007|11.0855
31/01/2007|11.0548
01/02/2007|11.0382
02/02/2007|10.9820
03/02/2007|N/E
04/02/2007|N/E
05/02/2007|N/E
06/02/2007|10.9921
07/02/2007|10.9192
08/02/2007|10.9370
09/02/2007|10.9683
10/02/2007|N/E
11/02/2007|N/E
12/02/2007|10.9601
13/02/2007|11.0227
14/02/2007|10.9915
15/02/2007|10.9152
16/02/2007|10.9522
17/02/2007|N/E
18/02/2007|N/E
19/02/2007|10.9958
20/02/2007|10.9778
21/02/2007|10.9755
22/02/2007|11.0023
23/02/2007|10.9683
24/02/2007|N/E
25/02/2007|N/E
26/02/2007|11.0397
27/02/2007|11.0790
28/02/2007|11.1493
01/03/2007|11.1682
02/03/2007|11.1917
03/03/2007|N/E
04/03/2007|N/E
05/03/2007|11.1817
06/03/2007|11.1762
07/03/2007|11.1473
08/03/2007|11.1555
09/03/2007|11.1426
10/03/2007|N/E
11/03/2007|N/E
12/03/2007|11.1205
13/03/2007|11.1483
14/03/2007|11.1727
15/03/2007|11.1867
16/03/2007|11.1348
17/03/2007|N/E
18/03/2007|N/E
19/03/2007|N/E
20/03/2007|11.1664
21/03/2007|11.1120
22/03/2007|11.0796
23/03/2007|11.0220
24/03/2007|N/E
25/03/2007|N/E
26/03/2007|11.0166
27/03/2007|11.0253
28/03/2007|11.0470
29/03/2007|11.0813
30/03/2007|11.0507
31/03/2007|N/E
01/04/2007|N/E
02/04/2007|11.0322
03/04/2007|11.0336
04/04/2007|10.9797
05/04/2007|N/E
06/04/2007|N/E
07/04/2007|N/E
08/04/2007|N/E
09/04/2007|10.9976
10/04/2007|10.9705
11/04/2007|11.0126
12/04/2007|10.9840
13/04/2007|11.0135
14/04/2007|N/E
15/04/2007|N/E
16/04/2007|10.9917
17/04/2007|10.9856
18/04/2007|10.9911
19/04/2007|10.9920
20/04/2007|11.0048
21/04/2007|N/E
22/04/2007|N/E
23/04/2007|10.9790
24/04/2007|10.9637
25/04/2007|11.0053
26/04/2007|10.9369
27/04/2007|10.9312
28/04/2007|N/E
29/04/2007|N/E
30/04/2007|10.9305
01/05/2007|N/E
02/05/2007|10.9278
03/05/2007|10.9262
04/05/2007|10.9020
05/05/2007|N/E
06/05/2007|N/E
07/05/2007|10.8852
08/05/2007|10.8558
09/05/2007|10.8513
10/05/2007|10.8269
11/05/2007|10.8178
12/05/2007|N/E
13/05/2007|N/E
14/05/2007|10.8148
15/05/2007|10.7987
16/05/2007|10.8032
17/05/2007|10.7905
18/05/2007|10.8033
19/05/2007|N/E
20/05/2007|N/E
21/05/2007|10.8223
22/05/2007|10.7963
23/05/2007|10.7598
24/05/2007|10.7688
25/05/2007|10.8354
26/05/2007|N/E
27/05/2007|N/E
28/05/2007|10.7803
29/05/2007|10.7788
30/05/2007|10.7873
31/05/2007|10.8180
01/06/2007|10.7445
02/06/2007|N/E
03/06/2007|N/E
04/06/2007|10.7131
05/06/2007|10.7441
06/06/2007|10.7809
07/06/2007|10.8450
08/06/2007|10.9043
09/06/2007|N/E
10/06/2007|N/E
11/06/2007|10.9702
12/06/2007|10.9307
13/06/2007|10.9331
14/06/2007|10.9538
15/06/2007|10.9012
16/06/2007|N/E
17/06/2007|N/E
18/06/2007|10.8148
19/06/2007|10.7760
20/06/2007|10.7494
21/06/2007|10.7713
22/06/2007|10.8266
23/06/2007|N/E
24/06/2007|N/E
25/06/2007|10.8080
26/06/2007|10.8189
27/06/2007|10.8398
28/06/2007|10.8661
29/06/2007|10.7926
30/06/2007|N/E
01/07/2007|N/E
02/07/2007|10.7946
03/07/2007|10.7697
04/07/2007|10.7698
05/07/2007|10.7600
06/07/2007|10.7936
07/07/2007|N/E
08/07/2007|N/E
09/07/2007|10.7828
10/07/2007|10.7531
11/07/2007|10.7917
12/07/2007|10.8248
13/07/2007|10.7799
14/07/2007|N/E
15/07/2007|N/E
16/07/2007|10.7608
17/07/2007|10.7653
18/07/2007|10.7628
19/07/2007|10.7520
20/07/2007|10.7207
21/07/2007|N/E
22/07/2007|N/E
23/07/2007|10.7843
24/07/2007|10.7640
25/07/2007|10.7846
26/07/2007|10.8712
27/07/2007|10.9436
28/07/2007|N/E
29/07/2007|N/E
30/07/2007|10.9973
31/07/2007|10.9812
01/08/2007|10.9273
02/08/2007|10.9663
03/08/2007|10.9402
04/08/2007|N/E
05/08/2007|N/E
06/08/2007|10.9677
07/08/2007|10.9886
08/08/2007|10.9613
09/08/2007|10.9209
10/08/2007|10.9832
11/08/2007|N/E
12/08/2007|N/E
13/08/2007|11.0173
14/08/2007|10.9915
15/08/2007|11.0549
16/08/2007|11.1148
17/08/2007|11.2676
18/08/2007|N/E
19/08/2007|N/E
20/08/2007|11.1259
21/08/2007|11.1053
22/08/2007|11.1213
23/08/2007|11.0736
24/08/2007|11.0489
25/08/2007|N/E
26/08/2007|N/E
27/08/2007|11.0413
28/08/2007|11.0382
29/08/2007|11.0920
30/08/2007|11.1062
31/08/2007|11.0848
01/09/2007|N/E
02/09/2007|N/E
03/09/2007|11.0378
04/09/2007|11.0169
05/09/2007|11.0265
06/09/2007|11.0848
07/09/2007|11.0658
08/09/2007|N/E
09/09/2007|N/E
10/09/2007|11.1227
11/09/2007|11.1407
12/09/2007|11.1057
13/09/2007|11.0720
14/09/2007|11.0743
15/09/2007|N/E
16/09/2007|N/E
17/09/2007|11.1110
18/09/2007|11.1471
19/09/2007|11.0959
20/09/2007|10.9871
21/09/2007|10.9687
22/09/2007|N/E
23/09/2007|N/E
24/09/2007|10.9517
25/09/2007|10.9391
26/09/2007|10.9438
27/09/2007|10.9243
28/09/2007|10.9203
29/09/2007|N/E
30/09/2007|N/E
01/10/2007|10.9315
02/10/2007|10.9224
03/10/2007|10.9210
04/10/2007|10.8685
05/10/2007|10.8963
06/10/2007|N/E
07/10/2007|N/E
08/10/2007|10.8557
09/10/2007|10.8589
10/10/2007|10.8379
11/10/2007|10.8383
12/10/2007|10.8101
13/10/2007|N/E
14/10/2007|N/E
15/10/2007|10.8252
16/10/2007|10.8133
17/10/2007|10.8418
18/10/2007|10.8181
19/10/2007|10.8133
20/10/2007|N/E
21/10/2007|N/E
22/10/2007|10.7976
23/10/2007|10.8404
24/10/2007|10.8240
25/10/2007|10.8348
26/10/2007|10.8291
27/10/2007|N/E
28/10/2007|N/E
29/10/2007|10.7523
30/10/2007|10.7112
31/10/2007|10.7198
01/11/2007|10.7023
02/11/2007|N/E
03/11/2007|N/E
04/11/2007|N/E
05/11/2007|10.6639
06/11/2007|10.7308
07/11/2007|10.7046
08/11/2007|10.7435
09/11/2007|10.8108
10/11/2007|N/E
11/11/2007|N/E
12/11/2007|10.8808
13/11/2007|10.9378
14/11/2007|10.8941
15/11/2007|10.8685
16/11/2007|10.9145
17/11/2007|N/E
18/11/2007|N/E
19/11/2007|N/E
20/11/2007|10.9353
21/11/2007|10.9687
22/11/2007|11.0037
23/11/2007|10.9790
24/11/2007|N/E
25/11/2007|N/E
26/11/2007|10.9733
27/11/2007|10.9810
28/11/2007|10.9695
29/11/2007|10.9345
30/11/2007|10.9417
01/12/2007|N/E
02/12/2007|N/E
03/12/2007|10.8968
04/12/2007|10.9124
05/12/2007|10.9059
06/12/2007|10.8592
07/12/2007|10.8367
08/12/2007|N/E
09/12/2007|N/E
10/12/2007|10.8128
11/12/2007|10.8185
12/12/2007|N/E
13/12/2007|10.8025
14/12/2007|10.8376
15/12/2007|N/E
16/12/2007|N/E
17/12/2007|10.8249
18/12/2007|10.8460
19/12/2007|10.8553
20/12/2007|10.8412
21/12/2007|10.8363
22/12/2007|N/E
23/12/2007|N/E
24/12/2007|10.8203
25/12/2007|N/E
26/12/2007|10.8132
27/12/2007|10.8105
28/12/2007|10.8662
29/12/2007|N/E
30/12/2007|N/E
31/12/2007|10.9043
01/01/2008|N/E
02/01/2008|10.9157
03/01/2008|10.8972
04/01/2008|10.8842
05/01/2008|N/E
06/01/2008|N/E
07/01/2008|10.9277
08/01/2008|10.9208
09/01/2008|10.8850
10/01/2008|10.9620
11/01/2008|10.9572
12/01/2008|N/E
13/01/2008|N/E
14/01/2008|10.9318
15/01/2008|10.9140
16/01/2008|10.9203
17/01/2008|10.9458
18/01/2008|10.9445
19/01/2008|N/E
20/01/2008|N/E
21/01/2008|10.9235
22/01/2008|10.9813
23/01/2008|10.9232
24/01/2008|10.9522
25/01/2008|10.8934
26/01/2008|N/E
27/01/2008|N/E
28/01/2008|10.8698
29/01/2008|10.8784
30/01/2008|10.8444
31/01/2008|10.8374
